epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3473,1.6211,5.03813,0.00459,0.51707,0.43696,0.47591,0.29235,1.34898,1.87949,0.00303,0.00028339,0.00028339,0.00028339
2,40.1119,1.45801,1.47402,0.00313,0.59263,0.65667,0.61828,0.3286,1.54307,0.9874,0.00352,0.000571898,0.000571898,0.000571898
3,57.9006,1.52029,1.00738,0.00323,0.65459,0.61293,0.62205,0.33922,1.55158,1.08693,0.00378,0.000848523,0.000848523,0.000848523
4,75.6169,1.53638,0.80287,0.00334,0.65332,0.5255,0.56644,0.30013,1.5924,1.48202,0.00388,0.00111327,0.00111327,0.00111327
5,93.3244,1.5064,0.78112,0.00319,0.46539,0.51485,0.44425,0.23329,1.74344,1.43927,0.00407,0.00136613,0.00136613,0.00136613
6,111.1,1.58891,0.98489,0.00388,0.58292,0.53311,0.5435,0.27231,1.68549,1.33184,0.00398,0.00150197,0.00150197,0.00150197
7,128.846,1.53931,0.83091,0.00345,0.55859,0.5931,0.57445,0.29782,1.64379,2.05368,0.00398,0.00146896,0.00146896,0.00146896
8,146.672,1.5802,0.74248,0.00339,0.526,0.49922,0.46896,0.26286,1.61382,2.13348,0.00377,0.00143595,0.00143595,0.00143595
9,164.237,1.44687,0.70858,0.00327,0.5735,0.54653,0.53615,0.27248,nan,nan,nan,0.00140295,0.00140295,0.00140295
10,181.997,1.45524,0.69558,0.00326,0.62208,0.56439,0.55822,0.23981,1.83608,2.07182,0.00444,0.00136994,0.00136994,0.00136994
11,199.725,1.44273,0.63898,0.00303,0.69526,0.67329,0.69233,0.3968,1.40405,0.90882,0.00313,0.00133693,0.00133693,0.00133693
12,217.548,1.40418,0.63916,0.00299,0.64711,0.58791,0.59118,0.34457,nan,nan,nan,0.00130393,0.00130393,0.00130393
13,235.271,1.40219,0.61464,0.00327,0.71806,0.63871,0.67089,0.37775,1.47432,0.94343,0.00341,0.00127092,0.00127092,0.00127092
14,253.124,1.42865,0.66926,0.00298,0.71875,0.71507,0.74499,0.42559,1.35269,0.80881,0.00299,0.00123791,0.00123791,0.00123791
15,270.876,1.43092,0.79837,0.00329,0.82398,0.68368,0.73846,0.43572,1.325,0.73369,0.00294,0.00120491,0.00120491,0.00120491
16,288.681,1.36147,0.60142,0.00304,0.76848,0.67811,0.71575,0.42622,1.35576,0.83813,0.00301,0.0011719,0.0011719,0.0011719
17,306.344,1.30057,0.57311,0.00296,0.84251,0.72326,0.78957,0.48223,1.25461,0.62969,0.00278,0.00113889,0.00113889,0.00113889
18,324.146,1.30295,0.5671,0.00279,0.72294,0.71257,0.72377,0.44287,1.29464,0.70295,0.00281,0.00110589,0.00110589,0.00110589
19,341.835,1.25713,0.5118,0.00258,0.79966,0.73462,0.77062,0.45904,1.31179,0.6463,0.0028,0.00107288,0.00107288,0.00107288
20,359.554,1.2917,0.54012,0.00267,0.76937,0.73229,0.74781,0.45122,1.26944,0.62227,0.00267,0.00103987,0.00103987,0.00103987
21,377.345,1.25321,0.48951,0.00262,0.84478,0.77828,0.81259,0.47708,1.32693,0.57642,0.00281,0.00100687,0.00100687,0.00100687
22,395.143,1.29289,0.569,0.0026,0.81443,0.79211,0.81901,0.48849,1.30133,0.55098,0.00288,0.000973861,0.000973861,0.000973861
23,413.09,1.30207,0.51631,0.00267,0.84421,0.77337,0.81931,0.50994,1.23333,0.56246,0.00263,0.000940855,0.000940855,0.000940855
24,430.901,1.23553,0.73059,0.00285,0.86282,0.76254,0.80555,0.50578,1.20092,0.5812,0.00256,0.000907848,0.000907848,0.000907848
25,448.551,1.25648,0.49773,0.00243,0.84168,0.81395,0.83263,0.49454,1.28012,0.59039,0.00281,0.000874842,0.000874842,0.000874842
26,466.34,1.26722,0.47663,0.00264,0.82975,0.78906,0.81946,0.51347,1.19487,0.55138,0.00248,0.000841835,0.000841835,0.000841835
27,484.091,1.18801,0.47563,0.00256,0.83721,0.82039,0.84423,0.51843,1.20898,0.50484,0.00258,0.000808828,0.000808828,0.000808828
28,501.854,1.18663,0.43168,0.00243,0.8485,0.80172,0.82574,0.51491,1.1815,0.52842,0.00245,0.000775822,0.000775822,0.000775822
29,519.597,1.17613,0.43748,0.00246,0.84837,0.76646,0.81588,0.49553,1.24456,0.55075,0.00259,0.000742815,0.000742815,0.000742815
30,537.316,1.25976,0.82106,0.00397,0.83134,0.80696,0.84027,0.51658,1.17552,0.51053,0.00242,0.000709809,0.000709809,0.000709809
31,555.169,1.16026,0.42569,0.00231,0.85092,0.78399,0.82657,0.52046,1.18223,0.5725,0.00251,0.000676802,0.000676802,0.000676802
