epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6831,1.83646,4.08745,0.00431,0.74979,0.32046,0.28689,0.18551,1.32358,2.96986,0.00283,0.00021671,0.00021671,0.00021671
2,20.6333,1.55311,1.4888,0.00323,0.65089,0.54816,0.59313,0.34253,1.46634,1.07113,0.00313,0.000441178,0.000441178,0.000441178
3,26.6696,1.58104,0.96417,0.00325,0.64671,0.5794,0.62229,0.36124,1.44353,1.99443,0.00307,0.000656405,0.000656405,0.000656405
4,32.8339,1.56831,0.85635,0.00324,0.67663,0.60583,0.63028,0.32312,1.6324,0.82988,0.00367,0.000862389,0.000862389,0.000862389
5,38.7495,1.57244,0.77253,0.00334,0.66199,0.59213,0.6221,0.3436,1.5583,0.84184,0.0035,0.00105913,0.00105913,0.00105913
6,44.7325,1.53375,0.73968,0.00332,0.70307,0.69829,0.69473,0.38903,1.472,0.81385,0.00333,0.00124663,0.00124663,0.00124663
7,50.7492,1.60024,0.75081,0.00343,0.62576,0.56323,0.55443,0.26986,1.77872,1.43493,0.00397,0.00142489,0.00142489,0.00142489
8,56.7728,1.50805,0.69124,0.00322,0.50104,0.55606,0.53811,0.29128,1.71565,1.47947,0.00406,0.00143595,0.00143595,0.00143595
9,62.7599,1.54357,0.70475,0.00328,0.93645,0.41976,0.54721,0.32456,1.44366,1.21195,0.00307,0.00140295,0.00140295,0.00140295
10,68.7322,1.54441,0.69908,0.0033,0.51087,0.60779,0.58845,0.359,1.4769,1.39323,0.00323,0.00136994,0.00136994,0.00136994
11,74.6913,1.51874,0.67436,0.00322,0.58675,0.63412,0.58562,0.3102,1.61797,1.78771,0.00365,0.00133693,0.00133693,0.00133693
12,80.6468,1.49922,0.65593,0.0031,0.7283,0.67963,0.67675,0.38603,1.4152,0.73458,0.00295,0.00130393,0.00130393,0.00130393
13,86.6148,1.48572,0.64272,0.003,0.6206,0.61111,0.5835,0.33654,1.55633,0.79905,0.00322,0.00127092,0.00127092,0.00127092
14,92.5469,1.45942,0.62294,0.00293,0.59546,0.67747,0.63938,0.36681,1.40494,1.07194,0.00297,0.00123791,0.00123791,0.00123791
15,98.5578,1.43348,0.59768,0.00295,0.79148,0.73574,0.77402,0.43313,1.41984,0.63371,0.0029,0.00120491,0.00120491,0.00120491
16,104.589,1.37846,0.56588,0.00284,0.69325,0.70138,0.70579,0.41407,1.38222,0.76288,0.00285,0.0011719,0.0011719,0.0011719
17,110.583,1.40255,0.55827,0.00289,0.64382,0.62886,0.61839,0.35381,1.51709,1.06785,0.00317,0.00113889,0.00113889,0.00113889
18,116.517,1.39409,0.54638,0.00287,0.71335,0.7248,0.7295,0.40335,1.47882,0.71205,0.00299,0.00110589,0.00110589,0.00110589
19,122.47,1.34546,0.54377,0.00269,0.76219,0.76575,0.75981,0.46331,1.26119,0.60637,0.00268,0.00107288,0.00107288,0.00107288
20,128.541,1.31515,0.52496,0.00268,0.76365,0.70651,0.71946,0.42431,1.34658,0.59703,0.00275,0.00103987,0.00103987,0.00103987
21,134.522,1.29519,0.50774,0.00258,0.801,0.75741,0.78866,0.48123,1.25241,0.6269,0.0026,0.00100687,0.00100687,0.00100687
22,140.519,1.31223,0.50997,0.00257,0.75075,0.69892,0.71191,0.42002,1.33478,0.69363,0.00268,0.000973861,0.000973861,0.000973861
23,146.517,1.31002,0.51055,0.00264,0.80375,0.74252,0.76799,0.4597,1.28469,0.588,0.00258,0.000940855,0.000940855,0.000940855
24,152.478,1.27766,0.49909,0.00253,0.8131,0.77834,0.79971,0.48175,1.26411,0.55482,0.00253,0.000907848,0.000907848,0.000907848
25,158.51,1.27876,0.48337,0.00251,0.79481,0.76335,0.78491,0.466,1.30192,0.56843,0.00265,0.000874842,0.000874842,0.000874842
26,164.508,1.30626,0.49608,0.00248,0.84195,0.7882,0.81682,0.50605,1.23447,0.53026,0.0025,0.000841835,0.000841835,0.000841835
27,170.625,1.26192,0.48597,0.00249,0.80803,0.77015,0.78502,0.4713,1.27122,0.524,0.00253,0.000808828,0.000808828,0.000808828
28,176.6,1.23819,0.46158,0.00237,0.84861,0.78469,0.80969,0.49251,1.2411,0.51831,0.00242,0.000775822,0.000775822,0.000775822
29,182.578,1.2233,0.46135,0.00237,0.82468,0.76162,0.7979,0.49597,1.19315,0.52962,0.00237,0.000742815,0.000742815,0.000742815
30,188.545,1.20029,0.44126,0.00237,0.84248,0.78462,0.81875,0.50919,1.21236,0.49477,0.0024,0.000709809,0.000709809,0.000709809
31,194.644,1.20148,0.45019,0.00223,0.81387,0.77875,0.79946,0.5071,1.19582,0.52793,0.00237,0.000676802,0.000676802,0.000676802
32,200.585,1.15734,0.4275,0.00231,0.82797,0.76745,0.80646,0.49709,1.23266,0.51195,0.00251,0.000643795,0.000643795,0.000643795
33,206.605,1.16535,0.41985,0.00225,0.83312,0.79361,0.81557,0.5172,1.18034,0.50549,0.00235,0.000610789,0.000610789,0.000610789
34,212.688,1.18234,0.42642,0.0022,0.8495,0.80322,0.84191,0.5311,1.1655,0.47776,0.00232,0.000577782,0.000577782,0.000577782
35,218.703,1.14274,0.41586,0.0022,0.83493,0.80201,0.83244,0.51975,1.18446,0.48394,0.00232,0.000544776,0.000544776,0.000544776
36,224.69,1.14482,0.41828,0.00216,0.80494,0.80882,0.82138,0.50265,1.22006,0.50139,0.00236,0.000511769,0.000511769,0.000511769
37,230.648,1.12892,0.39985,0.00213,0.83708,0.78053,0.8148,0.50014,1.19932,0.49586,0.00234,0.000478762,0.000478762,0.000478762
38,236.542,1.09737,0.38065,0.00211,0.85022,0.8148,0.83767,0.52716,1.17704,0.48916,0.00231,0.000445756,0.000445756,0.000445756
39,242.505,1.17523,0.415,0.00212,0.84364,0.79704,0.83,0.51302,1.2036,0.49755,0.00234,0.000412749,0.000412749,0.000412749
40,248.477,1.11512,0.39665,0.00204,0.84582,0.77852,0.80425,0.49987,1.17958,0.51101,0.00229,0.000379743,0.000379743,0.000379743
41,255.466,1.09153,0.37114,0.00234,0.86259,0.78145,0.82116,0.51236,1.18609,0.51015,0.00229,0.000346736,0.000346736,0.000346736
42,261.339,1.06602,0.35864,0.00219,0.84911,0.81059,0.833,0.52729,1.16518,0.47844,0.00226,0.000313729,0.000313729,0.000313729
43,267.156,1.04193,0.34794,0.00225,0.83266,0.78975,0.82761,0.51887,1.18334,0.49307,0.00231,0.000280723,0.000280723,0.000280723
44,273.002,1.0422,0.35064,0.00225,0.84342,0.80067,0.83627,0.53119,1.16553,0.48422,0.00227,0.000247716,0.000247716,0.000247716
45,278.949,1.02353,0.33929,0.00219,0.80815,0.82433,0.83556,0.51969,1.16844,0.4728,0.00226,0.00021471,0.00021471,0.00021471
46,285.134,1.02232,0.34251,0.00214,0.83821,0.80554,0.8354,0.53036,1.14848,0.47939,0.00222,0.000181703,0.000181703,0.000181703
47,290.986,1.02261,0.34285,0.00216,0.84568,0.80627,0.83503,0.52844,1.15321,0.48012,0.00224,0.000148696,0.000148696,0.000148696
48,297.043,0.99961,0.32982,0.00205,0.85087,0.80121,0.83235,0.51799,1.17222,0.47717,0.00226,0.00011569,0.00011569,0.00011569
49,303.032,0.99254,0.33182,0.00204,0.85498,0.80079,0.83844,0.52531,1.16145,0.47327,0.00225,8.26832e-05,8.26832e-05,8.26832e-05
50,308.879,0.99899,0.3282,0.00201,0.85529,0.79822,0.83832,0.52838,1.15124,0.47256,0.00221,4.96766e-05,4.96766e-05,4.96766e-05
